"total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","distance","instrument","treat","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other","respond","total_expenditure_obs"
6000,5000,0,56,NA,1,2,6,0,1,0,0,3,8,5.16666666666667,1.71428571428571,4,4,4,4,3.6,4,500,NA,0,0,3.2,0,46,0,0,1,0,35,0,0,FALSE,1,NA,NA,1001,NA,NA,NA,5,2,0,1,5,18,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6000
10000,8000,200,56,NA,1,3,12,0,0,0,0,2,2,4,2.14285714285714,4,4,4,2,3.2,3,0,NA,0,0,3.2,0,48,0,0,1,0,40,0,1,FALSE,6,NA,NA,1001,NA,NA,NA,6,2,0,2,4,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
10000,8000,0,56,0,1,3,3,0,0.333333333333333,0,0,5,12,2.83333333333333,2.14285714285714,4,4,4,4,3.6,4,0,NA,0,0,3.8,0.4,30,1,1,0,1,58,0,1,FALSE,20,1,12,1001,12,0.666666666666667,0.666666666666667,3,2,0,2,0,10,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
8000,3000,3000,54,300,1,1,3,0,0,2,0,6,10.45,3.83333333333333,2.57142857142857,4,4,4,4,3.6,4,400,NA,0,1,4,0.9,25,1,1,0,1,27,1,0,TRUE,10,4,7.66666666666667,1002,7.66666666666667,11.6666666666667,11.6666666666667,3,3,1,2,2,12,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8000
3000,2000,0,75,NA,1,2,8,0,0.333333333333333,0,4.5,1,6,3.33333333333333,0,2,2,2,3,2,2,100,NA,0,1,3.2,0,60,0,0,0,1,60,1,1,TRUE,14,NA,NA,1002,NA,NA,NA,2,1,0,2,5,10,0,0,0,0,0,2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
12000,10000,1000,0,0,0,0,0,0,1.66666666666667,1,0,4,16,4,2.14285714285714,4,4,4,5,4.4,5,250,NA,1,1,3.2,0.2,30,1,1,0,1,60,0,1,FALSE,30,7,7.33333333333333,1003,7.33333333333333,7.66666666666667,6.66666666666667,7,2,0,2,1,12,0,1,0,9,0,0,NA,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12000
10000,8000,1500,52,0,1,1,3,0,0.5,1,0,6,29,4,2.28571428571429,4,4,4,4,4,4,200,4,1,1,3.2,0.2,27,1,1,0,1,45,0,1,FALSE,35,5,8,1003,8,8.33333333333333,7.66666666666667,8,2,0,2,2,10,3,0,0,0,0,0,NA,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,10000
3000,2700,0,52,NA,1,1,3,0,0.333333333333333,0,0,0,0,3,2.14285714285714,2,2,4,4,2.6,4,50,NA,1,0,3.2,0,57,0,0,0,1,50,0,0,TRUE,4,NA,NA,1003,NA,NA,NA,2,1,0,1,4,10,0,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
5000,300,100,56,NA,1,2,3,0,0,0,0,1,1,2.5,2.42857142857143,4,3,2,4,3,3,100,NA,0,1,4,0.1,50,0,0,0,0,40,1,0,TRUE,0.5,NA,NA,1004,NA,NA,NA,2,2,0,2,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
8000,5000,30,80,NA,1,3,8,0,0.5,1,0,4,21,2.5,2.57142857142857,4,4,4,2,3.2,4,50,NA,0,0,3.6,0,33,1,0,1,0,46,0,0,FALSE,10,NA,NA,1004,NA,NA,NA,2,1,0,2,1,9,0,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
